check,detail,premium,ate
hyperparams,"leaf=10,trees=200",0.024254551554634074,0.05356043037270314
hyperparams,"leaf=10,trees=500",0.024998793685952814,0.05290618422347792
hyperparams,"leaf=30,trees=200",0.022272212034339677,0.05825095983501096
hyperparams,"leaf=30,trees=500",0.023904387473386794,0.056867615165157134
hyperparams,"leaf=50,trees=200",0.023647107232065923,0.05948988208624488
hyperparams,"leaf=50,trees=500",0.02224684161569302,0.057540170885506246
winsorised_T,p1/p99,0.02857719999861761,0.06084878720866441
pre2022_cohorts,n=2705,0.01877400688718539,0.06609143480001706
