organisationID,country,nace_2d,nace_4d,nace_section,ht_oecd,ht_oecd_thesis,ht_calvino,ht_pavitt,ht_pavitt_broad,primary_instrument,primary_instrument_thesis,independence,first_grant_year,last_year,offset,ec_predetermined,ec_was_fixed,log_ec,rev_growth,emp_growth,log_rev_pre,log_emp_pre,log_assets_pre,pm_pre,keep_rev,keep_emp
943488737.0,IT,25,2573.0,C,0,0,0,0,0,Collaborative,Collaborative,Subsidiary,2019,2024.0,5.0,240825.58,0,12.391828216010758,0.7246987987154281,0.059423420470800625,7.593390313898151,3.1986731175506815,7.895394292851343,1.1604999999999999,True,True
894303432.0,IT,71,7112.0,M,0,0,1,0,1,Collaborative,Collaborative,Subsidiary,2021,2024.0,3.0,120000.0,0,11.695247021764184,1.6749459248565337,,6.498876852123827,,5.979492331956977,23.782,False,False
952868637.0,SE,26,2651.0,C,1,1,0,1,1,Collaborative,Collaborative,Subsidiary,2020,2024.0,4.0,304717.75,0,12.62714121729745,0.326340796269708,0.6466271649250523,7.477486549259422,1.2992829841302609,7.124547833478959,7.554666666666667,True,True
984731973.0,Other,72,7219.0,M,1,1,1,1,1,Collaborative,Collaborative,Partial,2017,2024.0,7.0,783235.63,0,13.571188862013516,,,,,,,False,False
998140671.0,SE,49,4931.0,H,0,0,0,0,0,Collaborative,Collaborative,Subsidiary,2015,2024.0,9.0,17425.0,0,9.765661235628725,,,,,,,False,False
936142830.0,DE,96,9609.0,S,0,0,1,0,0,Collaborative,Collaborative,Subsidiary,2016,2023.0,7.0,699750.0,0,13.458478407377699,,,,,,,False,False
905612662.0,FR,62,6201.0,J,0,1,1,1,1,Collaborative,Collaborative,Independent,2019,2022.0,3.0,343402.0,0,12.746657051540375,,,,,,,False,False
937493264.0,IT,71,7112.0,M,0,0,1,0,1,Collaborative,Collaborative,Partial,2021,2024.0,3.0,199050.0,0,12.201311328428464,1.6968031302558488,1.504077396776274,5.991148663888797,1.540445040947149,5.855703050601668,24.572999999999997,True,True
929778951.0,IT,62,6201.0,J,0,1,1,1,1,Collaborative,Collaborative,Subsidiary,2019,2024.0,5.0,50000.0,0,10.819778284410283,2.3062694294371955,3.091042453358316,4.6126918273869375,0.0,5.329600409587026,1.1965,True,True
919763410.0,NO,46,4638.0,G,0,0,0,0,0,Collaborative,Collaborative,Unknown,2017,2024.0,7.0,48506.5,0,10.789453088564171,,,,,,,False,False
952858937.0,NL,86,8610.0,Q,0,0,0,0,0,Collaborative,Collaborative,Subsidiary,2021,2015.0,-6.0,507250.0,0,13.13675925768806,,,,,,,False,False
891721874.0,FR,62,6202.0,J,0,1,1,1,1,Collaborative,Collaborative,Unknown,2021,2019.0,-2.0,165462.5,0,12.016499862022027,,,,,,,False,False
913026275.0,PL,62,6201.0,J,0,1,1,1,1,Collaborative,Collaborative,Partial,2018,2025.0,7.0,77343.75,0,11.256015051185202,,,,,,,False,False
950095601.0,FI,72,7219.0,M,1,1,1,1,1,Collaborative,Collaborative,Independent,2021,2025.0,4.0,251450.0,0,12.43499944160011,,,,,,,False,False
998646817.0,FR,25,2562.0,C,0,0,0,0,0,Collaborative,Collaborative,Unknown,2016,2013.0,-3.0,763815.0,0,13.546080892229577,,,,,,,False,False
916219127.0,ES,23,2332.0,C,0,0,0,0,0,Collaborative,Collaborative,Partial,2018,2024.0,6.0,351162.5,0,12.769004358276678,1.6069776961520867,,6.104476865411936,,7.0949847057883995,6.526,False,False
928934178.0,PL,62,6201.0,J,0,1,1,1,1,SME,SME,Partial,2017,2024.0,7.0,50000.0,0,10.819778284410283,,,,,,,False,False
909663382.0,IT,58,5811.0,J,0,0,0,0,0,Collaborative,Collaborative,Partial,2018,2024.0,6.0,216475.0,0,12.285230346316002,0.6186433554439867,0.35667494393873267,6.418387774174601,1.9459101490553132,6.411831403912615,0.429,True,True
892861236.0,IT,26,2670.0,C,1,1,0,1,1,Other,Other,Subsidiary,2022,2024.0,2.0,1470433.0,0,14.201067473204409,,,,,,,False,False
968519975.0,IT,71,7112.0,M,0,0,1,0,1,Early-stage,Early-stage,Partial,2015,2024.0,9.0,234000.0,0,12.363076394339839,,,,,,,False,False
897167163.0,Other,31,3101.0,C,0,0,0,0,0,Other,Other,Partial,2023,2023.0,0.0,151800.0,0,11.930319143943667,,,,,,,False,False
892041974.0,NO,52,5222.0,H,0,0,0,0,0,Collaborative,Collaborative,Partial,2022,2024.0,2.0,1839847.0,0,14.425192973953921,,,,,,,False,False
902176146.0,Other,16,1623.0,C,0,0,0,0,0,Other,Other,Subsidiary,2022,2024.0,2.0,736440.0,0,13.509583045171143,-0.8752232065941588,,11.410332634255056,,10.457875623549278,6.026666666666666,False,False
937594047.0,ES,71,7112.0,M,0,0,1,0,1,Collaborative,Collaborative,Independent,2015,2024.0,9.0,317500.0,0,12.668233097314884,,,,,,,False,False
900870429.0,IT,70,7022.0,M,0,0,1,0,1,Collaborative,Collaborative,Partial,2020,2024.0,4.0,20500.0,0,9.9281801651265,,,,,,,False,False
899295925.0,Other,29,2932.0,C,0,0,1,0,0,Collaborative,Collaborative,Independent,2023,2024.0,1.0,1036875.0,0,13.851721939926845,-0.08797417694231591,-0.21627562699555813,11.061727856759234,7.691047809393428,11.232890638864324,-4.390000000000001,True,True
905455522.0,NL,88,8899.0,Q,0,0,0,0,0,Early-stage,Early-stage,Unknown,2021,2005.0,-16.0,187572.48,0,12.141920609697534,,,,,,,False,False
