premium,ate
0.012235102110345057,0.06299068440175462
0.03788216087872247,0.08112902746551381
0.006766435266538938,0.051283173077142745
0.01888583860339716,0.06374540627476004
0.03360081971259392,0.07032759777307225
0.014453316568997232,0.06569876664626512
0.023238765531050087,0.03795740382766895
0.05873936831050984,0.07486207201756513
0.00908915500271644,0.060838863648315165
0.06355789213336971,0.04485818875907154
0.02732245502999322,0.058252006077208186
0.0032223805914225953,0.03891111351002623
0.061153477703097085,0.06572326336089777
0.006519129981469619,0.0537694371116875
0.045263921072664796,0.06098126945015457
0.011751271964955803,0.06322026412531029
0.06911839314941899,0.059776920181701325
0.03856549941365314,0.05309575318546773
0.04941166250623237,0.05875582648157542
0.02455855283483986,0.08104727502607875
0.00592918616555943,0.06537574273191445
0.007702445662587015,0.0367178231325051
0.027892158691237595,0.06611750011024697
0.0016489417563508302,0.07886912594544826
0.026536402139938374,0.04843595289988655
0.01393722264766737,0.060331632644812956
0.017585225467136686,0.04811556848473789
0.01220493871602503,0.046862153290291794
0.02436747487611679,0.049818718315102886
0.07728992848970978,0.053486553714647396
0.01968874715810743,0.058618302610972374
0.027320352053963604,0.055768890357674336
0.03035743574407789,0.04590978045892769
0.0675303414336158,0.0658204081911564
0.013891212574829448,0.07076598569098891
0.01698598167745439,0.052085780121160746
0.03161341658952963,0.054110330608142736
0.05812128988373762,0.07486541514315893
0.01906149351738147,0.07361318873713511
0.03499145017067308,0.0470344370660333
0.025151029619064555,0.06978382072405745
0.01941180796065757,0.051139306028112196
-0.005127848746997454,0.08860104592017233
0.01938783427957443,0.023864871550836286
0.018854134824940666,0.046816026579543056
0.02094165642971301,0.0653051142249329
0.03825101734682108,0.06587056123143757
0.01378433962858195,0.05503346272027027
0.028009874398987132,0.06282386127072365
0.024976000581983446,0.07739805534826186
0.007871732493020547,0.058379580370609016
0.031517285447618976,0.06775766574862739
0.0779332014246264,0.05291013059846711
0.0058022407072059815,0.046358335059170225
0.002494776565133,0.05966640421857637
0.05230405476500702,0.0752591490771951
0.01729456438291658,0.05645218914503054
0.03148930128187931,0.051022521776411804
0.016861014421862823,0.04598679002859866
0.03652594412600774,0.07735237410509775
0.03226129666616434,0.05969157701340638
0.007587552241901392,0.054828924210477935
0.022598914868112274,0.0560556712819434
0.04324702896364883,0.056252915202077106
-0.00039437713988596523,0.05234243929631178
0.013086783044376854,0.04817096388593968
0.010086223267117327,0.0590113229212888
0.04830403783168438,0.07535878345892953
0.042769825028792736,0.06532982479662
0.01920296636823026,0.05559757767521793
0.009270862702589158,0.057188260942604555
0.014007596379146968,0.05458111425372399
0.06078061461183623,0.06843932050109358
0.03216541430648145,0.04816782212780543
0.04133565064979514,0.052984814994024444
0.021745629293065644,0.06368427994683812
0.021702564431119856,0.0473918045574178
-0.0016301763588046636,0.043363065284515945
0.0022189110207777585,0.07219301340850055
0.02052740611460624,0.05000656660410511
0.06695576276723597,0.06522205653025148
0.03292714307870162,0.07880597642212564
0.02832298076393109,0.047381836527309165
0.018575971915020945,0.035364480651549235
0.06890670035617572,0.07564775761483494
0.06548701573557167,0.04368654016477272
0.015536815083668574,0.05578823968561039
0.004194701512955312,0.04387434810494616
0.013230319929177496,0.04245770573961746
0.007496260211620781,0.06929608577537226
0.007903112641359941,0.07365405728348884
0.019929383199532635,0.0877316246672846
0.004559163416041061,0.03685734746651551
0.04912976183800709,0.06301363658246635
0.03859469257282068,0.04165455199901277
0.05130908954914616,0.04871368797993136
0.02164903247132783,0.04562500565867485
0.024812592712600293,0.051961259830316846
0.022917755597267945,0.02491038058277
0.007558234119255637,0.05446063631181064
0.043577546702767284,0.06605566879993155
0.02134446323128339,0.06481912209902925
0.03527960317447492,0.03882017672355858
0.04277360287024877,0.09074539364448768
0.05392635695717823,0.04043907129646385
0.058377114163499694,0.043031419558950366
0.005966608947999108,0.07062264677029369
0.022140099472050645,0.06902277335081844
0.05342047876340714,0.05498967787074432
0.01138995154092607,0.04071933200770382
0.014859022825243803,0.032011661570114
0.006298024220972996,0.05317503144641038
0.012011733095692027,0.05645296905016247
0.03973519369146841,0.05758758617956646
0.021929601641965377,0.06787824043797476
0.06273747541948119,0.10750206568244661
0.022137671775144474,0.06574216503311847
0.027353779025758508,0.040454200837571896
-0.010214777458729209,0.06738200777813398
0.02441356711066235,0.06504786804701806
0.005908292574614643,0.04283962339554736
0.039089664142319125,0.0787806655565953
0.02064364982165194,0.029720103892439075
0.006828801327106393,0.06780888074382198
0.015439212523979319,0.04141401918866114
0.004863509375164152,0.05532109687822103
0.06429367004625614,0.07583823360512697
0.0401760652296361,0.05609866366701373
0.0284953454450549,0.06677767884696796
0.04486858010129704,0.0436507849291578
0.008477784987962894,0.048492156352863684
0.014262920976970031,0.06581662155595339
0.014716322290777253,0.06775139365838785
0.02930388535482739,0.059051095839226846
0.02312627963793125,0.0465430446859965
0.032005837590474866,0.06364759948702935
0.02266500387011179,0.08759573665242648
0.028289973574980212,0.06265286391643428
0.03771842295688557,0.07580480561302434
0.049102756717811835,0.08546607816265872
0.01651994215191792,0.06659157752661839
0.0812861496723272,0.04810421200219275
0.04848805962405427,0.05190698013160247
0.01120695851177101,0.049824428843646476
0.03193882000469231,0.07616561681380246
0.040252057235602656,0.08528799361175354
0.060988506052371105,0.05001436873545827
0.019840019599537816,0.047294481278629945
0.033489478855271426,0.07428573021117366
0.00801542818585669,0.05434978371665512
0.040920884301515,0.05944685893790175
0.02093146737627622,0.05784724350387306
0.029754622091516927,0.06155102382645107
0.013598789674211506,0.06777971334073576
0.04485230237938636,0.054878900096564626
0.0175429569281675,0.072739860051972
0.017768322743545707,0.05852463427271314
0.03524141869698569,0.07452705811110691
0.02320865287351115,0.06011399312351869
0.0327995362108037,0.045194842133365665
0.025241595131311856,0.06767729495418041
0.008918271461945113,0.06085289843106119
0.03940872836710919,0.056867205466307774
0.15779793658445013,0.07166704261663706
0.02498338635879687,0.04956068086773417
0.044579206469040095,0.04446462344064154
0.0186210525037194,0.05314220007015336
0.0322016924372073,0.058944008260990874
0.03754233597024351,0.07001743827556466
0.008693398169827164,0.058950690683110346
0.04519354133359094,0.041075097336375814
0.015347765170211893,0.05867439299878396
-0.003841260034600183,0.056954391515533706
0.02617407027178517,0.06852084100753505
0.025215576247766693,0.03523685639881965
0.01856245646052551,0.040490122511203055
0.039773262369735905,0.06710012930820788
0.022252179557329783,0.06396929715998796
0.02567551382975833,0.07370598831741652
0.025785330594312046,0.05912333953238737
0.03577622241776815,0.080870004419264
0.006824416013529733,0.07606665925603487
0.01054468736420941,0.05053551102188697
0.00020305622627392328,0.06407277218249713
0.01695503633779448,0.07071825735050469
0.024866743010176065,0.06745568753191689
0.09044791221860768,0.05531627464337469
0.004630194613509532,0.05941260348984256
0.017798483000513204,0.06300521715867556
0.019986621820399647,0.05632610258981204
0.014261850203981484,0.05367934670883288
0.026501180872885985,0.05820327393153149
0.028030477357490056,0.05092216422107217
0.020152089143223723,0.047286936526884406
0.04321132643456439,0.09527037140062662
0.0228355598969708,0.06311292617762494
0.05192699934729829,0.0725985119821203
0.0243629606685484,0.08232666353617535
0.010599582895503591,0.06294713935411853
0.06040092623887098,0.047541673865828034
