subgroup,outcome,definition,n_boot_reps,premium_mean,premium_se_boot,premium_ci_lo,premium_ci_hi,ate_mean_boot,ate_ci_lo_boot,ate_ci_hi_boot,n_perm_reps,perm_null_sd,perm_pval
Collaborative,Employment,Calvino,200,-6.505779890040469e-4,0.008648491901740017,-0.017759531514331982,0.016143432714935298,0.02590627130416332,-0.002684248822414705,0.0482202854866678,200,0.0027329337971395023,0.7
Collaborative,Employment,OECD (ICT-inclusive),200,0.014617186891396183,0.013716721310967354,-0.004551158449725989,0.05194104339147214,0.02679000924658566,-0.001647056244856719,0.04810312234234791,200,0.002393093893832188,0.004975124378109453
Collaborative,Employment,OECD (strict GRV),200,0.006013777668491193,0.007249967604462146,-0.004858723393268824,0.022345530952642512,0.026787881650777043,-7.102441511493055e-4,0.04837122521429591,200,0.0025515772276499303,0.03
Collaborative,Employment,Pavitt broad,200,0.005476864962160447,0.007325070336170497,-0.007168227863803804,0.019840942307194593,0.026195415801611645,-0.0015740816402815155,0.04902724104045358,200,0.003351888247341493,0.09
Collaborative,Employment,Pavitt narrow,200,0.00986156757466843,0.009097481879869522,-0.003490485135610861,0.03376697626683658,0.026592290947811962,-0.0017680387848745213,0.04724386212938101,200,0.0024168611288168315,0.01
Collaborative,Revenue,Calvino,200,0.00958523592787256,0.011152228064189437,-0.0110897774290548,0.029843869473098132,0.037465401409784146,0.005491103422343741,0.06947686896751296,200,0.003568971908648847,0.02
Collaborative,Revenue,OECD (ICT-inclusive),200,0.026582296064534237,0.019308395259784374,-1.1949688692068788e-4,0.07757176220913509,0.03833316186118384,0.006187624924656903,0.07072360253622574,200,0.0033388087160166483,0.004975124378109453
Collaborative,Revenue,OECD (strict GRV),200,0.013105950691994666,0.015392333356200043,-0.005957800397834306,0.050143135722410435,0.03769331729246202,0.005618252164005781,0.06914166360012211,200,0.003670128930765219,0.015
Collaborative,Revenue,Pavitt broad,200,0.01074198572502965,0.01014497876146742,-0.007688774140141082,0.03195282315910601,0.03887459694709254,0.005687052240877621,0.07055549324182894,200,0.004239761584103023,0.02
Collaborative,Revenue,Pavitt narrow,200,0.018862988993345275,0.01564531596318368,-0.0016230752371712912,0.058446274235435296,0.0381723667266098,0.006650346124344287,0.07057664275438844,200,0.0031998054356947078,0.004975124378109453
Independent,Employment,Calvino,200,0.011018214223117443,0.00844861616964311,-0.006961072155251827,0.02880750029688098,0.07583669790392501,0.005937403844724797,0.15284087407812685,200,0.002780190278037797,0.004975124378109453
Independent,Employment,OECD (ICT-inclusive),200,0.0032254090645608465,0.004842577885937607,-0.005258854803690931,0.013154749097106252,0.07552442258001689,0.00574907036318693,0.15143614108291942,200,0.0028314411929606224,0.205
Independent,Employment,OECD (strict GRV),200,-0.0058356073983829564,0.004661231005477062,-0.0146658124626876,0.0032074945599880824,0.07543055458094006,0.003750889594031105,0.15111886698813426,200,0.0029809351390842516,0.06
Independent,Employment,Pavitt broad,200,0.009222047029617172,0.007141985198551388,-0.0036281514438864363,0.023358959236248433,0.07546270629849497,0.0033876744486878952,0.1526821164037168,200,0.0027503894316904596,0.005
Independent,Employment,Pavitt narrow,200,0.0025957703113886578,0.0043385133860306575,-0.004863410471833804,0.011930785347355677,0.07534312556763793,0.005721219893743084,0.15144083670630143,200,0.002781233822692195,0.305
Independent,Revenue,Calvino,200,0.0018948217140111999,0.012083282499153513,-0.022604050212194474,0.025098516447388967,0.028222213604731382,-0.0526483857992587,0.1019022068300398,200,0.004791147839114811,0.675
Independent,Revenue,OECD (ICT-inclusive),200,-0.003981608541066498,0.008871423258996518,-0.021547691706931636,0.011288927563731592,0.028023949008813515,-0.05177186070966767,0.10227957687669625,200,0.005250540114906179,0.47
Independent,Revenue,OECD (strict GRV),200,-0.010150417619172632,0.00838353408145617,-0.03212335051544808,0.002360678471325779,0.02806010349965654,-0.053480703389807094,0.10450397638191322,200,0.005688936905020605,0.08
Independent,Revenue,Pavitt broad,200,4.79029844867997e-4,0.01145799755140484,-0.021753739021816893,0.02018122215665596,0.02782247024915034,-0.053576062271860236,0.10100158487880538,200,0.005007209546345046,0.9
Independent,Revenue,Pavitt narrow,200,-0.0037975502292053446,0.008272093914858444,-0.025208196650708486,0.009181275534928087,0.02803068876417875,-0.0510669294266294,0.10191902524286713,200,0.004901424384515297,0.44
Overall,Employment,Calvino,200,0.006918599931268252,0.006910135492742677,-0.0058578466583117245,0.018981188068243834,0.04255180704293074,0.025751230269606216,0.060370544837531515,200,0.0025446283505645853,0.015
Overall,Employment,OECD (ICT-inclusive),200,0.01741099567701552,0.008381354933842112,0.003013417730815426,0.0347277736603167,0.043702920617721124,0.027561562236316485,0.06074675775880861,200,0.0023912485365660367,0.004975124378109453
Overall,Employment,OECD (strict GRV),200,0.011245437361609722,0.005658638931470052,3.7394477630158055e-4,0.02182789291973113,0.04376209169354129,0.027533413212621108,0.061040382389036536,200,0.002381168181124232,0.004975124378109453
Overall,Employment,Pavitt broad,200,0.011526510181032621,0.006067643514289242,-5.776792205311848e-4,0.024359838024976883,0.0431920938254321,0.02703865591244749,0.06035971383121633,200,0.002840556310430936,0.005
Overall,Employment,Pavitt narrow,200,0.013672468477491427,0.006422529149623107,0.0023516380470400104,0.027511027691134265,0.04355773875832876,0.02705463909184532,0.06064382435470544,200,0.0022085611572975937,0.004975124378109453
Overall,Revenue,Calvino,200,0.019344871205945184,0.01159338278363078,-0.002218489229819978,0.0410002644282295,0.059446551497035344,0.03454621390247642,0.08667670406655538,200,0.002987163646404478,0.004975124378109453
Overall,Revenue,OECD (ICT-inclusive),200,0.025075926286841282,0.01515501068574114,-0.003859460176692004,0.05895279497713595,0.05968639556479029,0.03575994783529543,0.08763878473157956,200,0.002710426325960781,0.004975124378109453
